Source,SS,DF,MS,F,p_unc,np2
AIP_COND,2.242889993436916,1.0,2.242889993436916,1.3486623629208807,0.2462468570995483,0.0035646019058135645
DISC_label,1.089988733035845,1.0,1.089988733035845,0.6554163532562063,0.418693489103384,0.0017354877617937682
AIP_COND * DISC_label,4.66506555211925,1.0,4.66506555211925,2.8051301441944347,0.09479246407373566,0.007385708937447623
Residual,626.9690255865194,377.0,1.6630478132268418,,,
