mc_column,group_col,n_low_or_no,n_high_or_with,mean_low_or_no,mean_high_or_with,t,p,cohens_d,gate_pass_d>=0.50
MC_AIP,AIP_COND,19,9,5.11,6.0,1.718,0.0983,0.517,True
MC_DISC,DISC_COND,16,12,4.19,6.33,3.525,0.0024,1.186,True
