StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR1,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND,CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_STORE,CHAN_SOC,flag_cell_mismatch,flag_straightliner,flag_cc1_wrong,flag_cc2_wrong
2026-08-18 21:39:57,2026-08-18 21:50:10,IP Address,116.105.253.163,100,613,True,2026-08-18 21:50:11,R_4EDOgG89zgBM7yV,,,,,12.6675,108.0378,anonymous,VI,,FL_EOS_ID,,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",23.936,100.432,100.453,12.0,"Danh sách các sản phẩm bán chạy nhất trên toàn nền tảng
A list of the platform's best-selling products overall","Có
Yes",7,6,7,5,5,6,5,6,6,6,3,4,3,4,5,5,5,6,5,4,5,6,5,4,5,5,6,2,5,6,6,6,7,7,7,6,6,18 - 24,"Nữ
Female","Đại học
University (Bachelor's degree)","Dưới 5 triệu
Under 5 million VND","Khoảng mỗi tuần
About weekly",Shopee,,"Trên 3 năm
Over 3 years","CHAN_APP,CHAN_LIVE",2,0,1,True,False,True,False,False,False,False,False,False
2026-08-18 21:42:49,2026-08-18 21:59:58,IP Address,171.243.50.127,100,1028,True,2026-08-18 21:59:58,R_9QmjLvkA27oKTiX,,,,,10.822,106.6257,anonymous,VI,,FL_EOS_ID,,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2.863,84.864,84.866,14.0,"Danh sách được chọn riêng, chỉ dành cho tôi
A list curated specifically and only for me","Không
No",7,7,7,6,7,7,6,7,6,7,2,3,3,2,2,5,6,6,6,6,6,6,7,7,6,6,6,2,6,6,6,6,6,6,6,7,6,18 - 24,"Nam
Male","Đại học
University (Bachelor's degree)","Dưới 5 triệu
Under 5 million VND","Khoảng mỗi tháng
About monthly",Shopee,,"Từ 1 đến 3 năm
From 1 to 3 years","CHAN_APP,CHAN_LIVE,CHAN_SOC",3,1,0,True,False,True,False,True,False,False,False,False
